FIGHTER_ID,FIGHTER_NAME,FIGHTER_NICKNAME
5845,"Veronica Macedo",
5846,"Yoel Romero","Soldier of God"
5847,"Joanna Jedrzejczyk",
5848,"Drakkar Klose",
5849,"Saparbeg Safarov",
5850,"Zarah Fairn",Infinite
5851,"Gabriel Silva",
5852,"Ismail Naurdiev","The Austrian Wonderboy"
5853,"Ben Sosoli","Combat Wombat"
5854,"Magomed Mustafaev","The Sniper"
5855,"Emil Meek",Valhalla
5856,"Callan Potter","The Rockstar"
5857,"Corey Anderson",Overtime
5858,"Jon Jones",Bones
5859,"Juan Adams","The Kraken"
5860,"Darko Stosic",
5861,"Lucie Pudilova",
5862,"Lina Lansberg","Elbow Queen"
5863,"Dooho Choi","The Korean Superboy"
5864,"Pingyuan Liu",
5865,"Suman Mokhtarian",
5866,"Dong Hyun Ma",Maestro
5867,"Urijah Faber","The California Kid"
5868,"Ben Saunders","Killa B"
5869,"Daniel Teymur","Kid Dynamite"
5870,"Thiago Alves",Pitbull
5871,"Trevor Smith","Hot Sauce"
5872,"Sergio Moraes","The Panther"
5873,"Renan Barao","The Baron"
5874,"Isabela de Padua",Belinha
5875,"Zabit Magomedsharipov",
5876,"Rustam Khabilov",Tiger
5877,"Sergey Khandozhko",Honda
5878,"Grigory Popov",
5879,"Chance Rencountre","Black Eagle"
5880,"Ben Askren",Funky
5881,"Stevie Ray",Braveheart
5882,"Alex White","The Spartan"
5883,"Sergei Pavlovich",
5884,"Aleksandra Albu",Stitch
5885,"Joe Lauzon",
5886,"Manny Bermudez","The Bermudez Triangle"
