,Nombres,Categoría,Record
409,DENNIS BUZUKJA,Featherweight,0-1-0 (W-L-D)
410,ALEX CACERES,Featherweight,19-13-0 (W-L-D)
411,WAGNER CAMPOS,Featherweight,11-4-0 (W-L-D)
412,SPIKE CARLYLE,Featherweight,9-3-0 (W-L-D)
413,ANTONIO CARVALHO,Featherweight,15-6-0 (W-L-D)
414,DANNY CHAVEZ,Featherweight,11-4-1 (W-L-D)
415,MARK CHERICO,Featherweight,11-2-0 (W-L-D)
416,GIGA CHIKADZE,Featherweight,14-3-0 (W-L-D)
417,DOOHO CHOI,Featherweight,14-3-0 (W-L-D)
418,SEUNGWOO CHOI,Featherweight,10-4-0 (W-L-D)
419,WILL CHOPE,Featherweight,19-6-0 (W-L-D)
420,YUI CHUL NAM,Featherweight,18-6-1 (W-L-D)
421,JOSH CLOPTON,Featherweight,6-2-1 (W-L-D)
422,CLAY COLLARD,Featherweight,14-7-0 (W-L-D)
423,TRISTAN CONNELLY,Featherweight,14-7-0 (W-L-D)
424,AKIRA CORASSANI,Featherweight,14-7-1 (W-L-D)
425,JR COUGHRAN,Featherweight,4-1-0 (W-L-D)
426,JAY CUCCINIELLO,Featherweight,9-1-0 (W-L-D)
427,JOSH CULIBAO,Featherweight,9-1-1 (W-L-D)
428,HAKEEM DAWODU,Featherweight,13-2-1 (W-L-D)
429,MARTIN DAY,Featherweight,8-6-0 (W-L-D)
430,MIKE DE LA TORRE,Featherweight,14-7-0 (W-L-D)
431,TYLER DIAMOND,Featherweight,9-2-0 (W-L-D)
432,ADRIAN DIAZ,Featherweight,11-5-1 (W-L-D)
433,KYLE DRISCOLL,Featherweight,12-3-0 (W-L-D)
434,ROLANDO DY,Featherweight,9-6-1 (W-L-D)
435,MARK EDDIVA,Featherweight,6-3-0 (W-L-D)
436,ADLI EDWARDS,Featherweight,0-0-0 (W-L-D)
437,DARREN ELKINS,Featherweight,27-10-0 (W-L-D)
438,JAMALL EMMERS,Featherweight,18-6-0 (W-L-D)
439,JOSH EMMETT,Featherweight,17-2-0 (W-L-D)
440,JULIAN EROSA,Featherweight,27-10-0 (W-L-D)
441,MOVSAR EVLOEV,Featherweight,15-0-0 (W-L-D)
442,ANDRE EWELL,Featherweight,17-9-0 (W-L-D)
443,WAGNNEY FABIANO,Featherweight,14-2-0 (W-L-D)
444,ANDRE FILI,Featherweight,21-8-0 (W-L-D)
445,CHRIS FISHGOLD,Featherweight,18-4-1 (W-L-D)
446,ALEJANDRO FLORES,Featherweight,0-1-0 (W-L-D)
447,KENNY FLORIAN,Featherweight,16-6-0 (W-L-D)
448,MASIO FULLEN,Featherweight,10-6-0 (W-L-D)
449,JOEY GAMBINO,Featherweight,9-2-0 (W-L-D)
450,LUIZ GARAGORRI,Featherweight,13-2-0 (W-L-D)
451,LEONARD GARCIA,Featherweight,19-11-1 (W-L-D)
452,PABLO GARZA,Featherweight,13-4-0 (W-L-D)
453,SERGIO GIGLIO,Featherweight,0-0-0 (W-L-D)
454,ALEX GILPIN,Featherweight,10-1-0 (W-L-D)
455,LUIS GOMEZ,Featherweight,4-1-0 (W-L-D)
456,JUSTIN GONZALES,Featherweight,9-0-0 (W-L-D)
457,KRON GRACIE,Featherweight,5-1-0 (W-L-D)
458,MATT GRICE,Featherweight,15-5-0 (W-L-D)
459,TYSON GRIFFIN,Featherweight,15-6-0 (W-L-D)
460,JORDAN GRIFFIN,Featherweight,18-9-0 (W-L-D)
461,JOSH GRISPI,Featherweight,14-5-0 (W-L-D)
462,MIKE GRUNDY,Featherweight,12-3-0 (W-L-D)
463,WANG GUAN,Featherweight,20-1-1 (W-L-D)
464,HORACIO GUTIERREZ,Featherweight,3-3-0 (W-L-D)
465,YAZAN HAJEH,Featherweight,6-0-0 (W-L-D)
466,RYAN HALL,Featherweight,9-2-0 (W-L-D)
467,TOMMY HAYDEN,Featherweight,8-2-0 (W-L-D)
468,DANNY HENRY,Featherweight,12-4-0 (W-L-D)
469,JIMY HETTES,Featherweight,11-3-0 (W-L-D)
470,HATSU HIOKI,Featherweight,27-8-2 (W-L-D)
471,MAX HOLLOWAY,Featherweight,23-6-0 (W-L-D)
472,MARK HOMINICK,Featherweight,20-12-0 (W-L-D)
473,DAN HOOKER,Featherweight,21-12-0 (W-L-D)
474,CHASE HOOPER,Featherweight,10-2-1 (W-L-D)
475,YOSHINORI HORIE,Featherweight,0-1-0 (W-L-D)
476,DAN IGE,Featherweight,15-5-0 (W-L-D)
477,DAMON JACKSON,Featherweight,20-4-1 (W-L-D)
478,RONY JASON,Featherweight,15-7-0 (W-L-D)
479,JUSTIN JAYNES,Featherweight,16-8-0 (W-L-D)
480,SUNG BIN JO,Featherweight,9-1-0 (W-L-D)
481,DASHON JOHNSON,Featherweight,9-2-0 (W-L-D)
482,CHARLES JOURDAIN,Featherweight,12-4-1 (W-L-D)
483,CHAN SUNG JUNG,Featherweight,17-7-0 (W-L-D)
484,MYLES JURY,Featherweight,17-4-0 (W-L-D)
485,KAI KAMAKA,Featherweight,8-4-1 (W-L-D)
486,CALVIN KATTAR,Featherweight,23-5-0 (W-L-D)
487,CANAAN KAWAIHAE,Featherweight,4-2-0 (W-L-D)
488,TATSUYA KAWAJIRI,Featherweight,35-10-2 (W-L-D)
489,BRIAN KELLEHER,Featherweight,24-13-0 (W-L-D)
490,JEREMY KENNEDY,Featherweight,11-1-0 (W-L-D)
491,KATSUNORI KIKUNO,Featherweight,23-8-2 (W-L-D)
492,JACOB KILBURN,Featherweight,8-4-0 (W-L-D)
493,KAMUELA KIRK,Featherweight,12-5-0 (W-L-D)
494,JASON KNIGHT,Featherweight,20-6-0 (W-L-D)
495,NOAD LAHAT,Featherweight,9-2-0 (W-L-D)
496,RICARDO LAMAS,Featherweight,20-8-0 (W-L-D)
497,NATE LANDWEHR,Featherweight,15-4-0 (W-L-D)
498,TJ LARAMIE,Featherweight,12-5-0 (W-L-D)
499,JEREMY LARSEN,Featherweight,8-5-0 (W-L-D)
500,JUSTIN LAWRENCE,Featherweight,4-2-0 (W-L-D)
501,LANCE LAWRENCE,Featherweight,5-0-0 (W-L-D)
502,THANH LE,Featherweight,7-1-0 (W-L-D)
503,ROCKY LEE,Featherweight,3-1-0 (W-L-D)
504,NIK LENTZ,Featherweight,30-12-2 (W-L-D)
505,AUSTIN LINGO,Featherweight,9-1-0 (W-L-D)
506,ARTEM LOBOV,Featherweight,14-15-1 (W-L-D)
507,DYLAN LOCKARD,Featherweight,0-0-0 (W-L-D)
508,DIEGO LOPES,Featherweight,0-1-0 (W-L-D)
509,MIKE LULLO,Featherweight,8-3-0 (W-L-D)
510,TUCKER LUTZ,Featherweight,12-2-0 (W-L-D)
511,ZABIT MAGOMEDSHARIPOV,Featherweight,18-1-0 (W-L-D)
512,LEVAN MAKASHVILI,Featherweight,10-2-1 (W-L-D)
513,JONATHAN MARTINEZ,Featherweight,15-4-0 (W-L-D)
514,LUCAS MARTINS,Featherweight,16-3-0 (W-L-D)
515,GRAY MAYNARD,Featherweight,14-8-1 (W-L-D)
516,ANISTAVIO MEDEIROS,Featherweight,15-8-0 (W-L-D)
517,CHAD MENDES,Featherweight,18-5-0 (W-L-D)
518,IVAN MENJIVAR,Featherweight,25-12-0 (W-L-D)
519,YAOTZIN MEZA,Featherweight,21-11-0 (W-L-D)
520,COLE MILLER,Featherweight,21-11-0 (W-L-D)
521,DARRICK MINNER,Featherweight,26-13-0 (W-L-D)
522,TOBY MISECH,Featherweight,10-5-0 (W-L-D)
523,MAURICE MITCHELL,Featherweight,11-2-0 (W-L-D)
524,BRYCE MITCHELL,Featherweight,15-1-0 (W-L-D)
525,EIJI MITSUOKA,Featherweight,18-9-2 (W-L-D)
526,BOBBY MOFFETT,Featherweight,12-5-0 (W-L-D)
527,SUMAN MOKHTARIAN,Featherweight,8-2-0 (W-L-D)
528,SHEYMON MORAES,Featherweight,11-4-0 (W-L-D)
529,OMAR ANTONIO MORALES FERRER,Featherweight,11-2-0 (W-L-D)
530,OLIVIER MURAD,Featherweight,0-0-0 (W-L-D)
531,VINCE MURDOCK,Featherweight,12-4-0 (W-L-D)
532,LERONE MURPHY,Featherweight,11-0-1 (W-L-D)
533,MUHAMMADJON NAIMOV,Featherweight,5-1-0 (W-L-D)
534,NAD NARIMANI,Featherweight,12-4-0 (W-L-D)
535,DUSTIN NEACE,Featherweight,23-18-1 (W-L-D)
536,KYLE NELSON,Featherweight,13-4-0 (W-L-D)
537,STEVEN NGUYEN,Featherweight,1-0-0 (W-L-D)
538,TOM NIINIMAKI,Featherweight,21-8-1 (W-L-D)
539,PHILLIPE NOVER,Featherweight,12-8-1 (W-L-D)
540,SHAYILAN NUERDANBIEKE,Featherweight,37-10-0 (W-L-D)
541,DIEGO NUNES,Featherweight,18-4-0 (W-L-D)
542,UMAR NURMAGOMEDOV,Featherweight,14-0-0 (W-L-D)
543,ANDY OGLE,Featherweight,9-6-0 (W-L-D)
544,ALAN OMER,Featherweight,18-5-0 (W-L-D)
545,MICHIHIRO OMIGAWA,Featherweight,13-12-1 (W-L-D)
546,DAVID ONAMA,Featherweight,1-1-0 (W-L-D)
547,BRIAN ORTEGA,Featherweight,15-2-0 (W-L-D)
548,FERNANDO PADILLA,Featherweight,0-0-0 (W-L-D)
549,DINIS PAIVA,Featherweight,13-8-0 (W-L-D)
550,FREDSON PAIXAO,Featherweight,10-4-0 (W-L-D)
551,RICK PALACIOS,Featherweight,10-1-0 (W-L-D)
552,BART PALASZEWSKI,Featherweight,35-17-0 (W-L-D)
553,ESTEVAN PAYAN,Featherweight,14-6-0 (W-L-D)
554,JONATHAN PEARCE,Featherweight,12-4-0 (W-L-D)
555,ROBBIE PERALTA,Featherweight,18-6-0 (W-L-D)
556,ALEJANDRO PÉREZ,Featherweight,23-9-1 (W-L-D)
557,STEVEN PETERSON,Featherweight,19-10-0 (W-L-D)
558,PETER PETTIES,Featherweight,5-3-0 (W-L-D)
559,DANIEL PINEDA,Featherweight,27-14-0 (W-L-D)
560,JUAN PUIG,Featherweight,11-4-0 (W-L-D)
561,BILLY QUARANTILLO,Featherweight,16-4-0 (W-L-D)
562,RICARDO RAMOS,Featherweight,15-4-0 (W-L-D)
563,PAUL REDMOND,Featherweight,10-5-0 (W-L-D)
564,KYLE REYES,Featherweight,0-0-0 (W-L-D)
565,THEO RLAYANG,Featherweight,0-1-0 (W-L-D)
566,YAIR RODRIGUEZ,Featherweight,14-3-0 (W-L-D)
567,CHRISTIAN RODRIGUEZ,Featherweight,1-1-0 (W-L-D)
568,KALEIO ROMERO,Featherweight,0-0-0 (W-L-D)
569,RODOLFO RUBIO,Featherweight,12-8-0 (W-L-D)
570,PAT SABATINI,Featherweight,17-3-0 (W-L-D)
571,LUIS SALDANA,Featherweight,16-7-0 (W-L-D)
572,LUKE SANDERS,Featherweight,13-5-0 (W-L-D)
573,MIKE SANTIAGO,Featherweight,21-12-0 (W-L-D)
574,PAT SCHILLING,Featherweight,5-2-0 (W-L-D)
575,MACKENS SEMERZIER,Featherweight,8-4-0 (W-L-D)
576,SAM SICILIA,Featherweight,15-8-0 (W-L-D)
577,STEVEN SILER,Featherweight,23-13-0 (W-L-D)
578,DENNIS SIVER,Featherweight,23-11-0 (W-L-D)
579,CHAS SKELLY,Featherweight,19-3-0 (W-L-D)
580,SEAN SORIANO,Featherweight,14-8-0 (W-L-D)
581,KEVIN SOUZA,Featherweight,19-4-0 (W-L-D)
582,BRUNO SOUZA,Featherweight,10-3-0 (W-L-D)
583,AUSTIN SPRINGER,Featherweight,10-4-0 (W-L-D)
584,JOE STEVENSON,Featherweight,36-14-0 (W-L-D)
585,LAZAR STOJADINOVIC,Featherweight,12-6-0 (W-L-D)
586,MARK STRIEGL,Featherweight,18-4-0 (W-L-D)
587,DANIEL SWAIN,Featherweight,20-10-1 (W-L-D)
588,CUB SWANSON,Featherweight,28-12-0 (W-L-D)
589,THIAGO TAVARES,Featherweight,24-7-1 (W-L-D)
590,JOHN TEIXEIRA,Featherweight,13-1-1 (W-L-D)
591,DANIEL TEYMUR,Featherweight,7-4-0 (W-L-D)
592,TYLER TONER,Featherweight,11-3-0 (W-L-D)
593,ALEX TORRES,Featherweight,2-2-0 (W-L-D)
594,TIAGO TRATOR,Featherweight,20-6-2 (W-L-D)
595,MICHAEL TRIZANO,Featherweight,10-2-0 (W-L-D)
596,GAVIN TUCKER,Featherweight,13-2-0 (W-L-D)
597,ZUBAIRA TUKHUGOV,Featherweight,20-5-1 (W-L-D)
598,LANDO VANNATA,Featherweight,12-5-2 (W-L-D)
599,JAVIER VAZQUEZ,Featherweight,16-5-0 (W-L-D)
600,MILTON VIEIRA,Featherweight,13-8-2 (W-L-D)
601,ALEXANDER VOLKANOVSKI,Featherweight,24-1-0 (W-L-D)
602,ROB WHITEFORD,Featherweight,12-4-0 (W-L-D)
603,MIKE WILKINSON,Featherweight,9-2-0 (W-L-D)
604,ERIC WISELY,Featherweight,19-8-0 (W-L-D)
605,SEAN WOODSON,Featherweight,9-1-0 (W-L-D)
606,EDDIE YAGIN,Featherweight,16-5-1 (W-L-D)
607,JIANPING YANG,Featherweight,7-4-1 (W-L-D)
608,JASON YOUNG,Featherweight,9-6-0 (W-L-D)
609,SHANE YOUNG,Featherweight,13-6-0 (W-L-D)
610,SODIQ YUSUFF,Featherweight,12-2-0 (W-L-D)
611,YOUSSEF ZALAL,Featherweight,10-5-0 (W-L-D)
612,ZACH ZANE,Featherweight,12-7-0 (W-L-D)
613,LV ZHENHONG,Featherweight,0-0-0 (W-L-D)
614,BALAJIN _,Lightweight,0-0-0 (W-L-D)
615,DANNY ABBADI,Lightweight,2-2-0 (W-L-D)
616,NICK AGALLAR,Lightweight,12-3-0 (W-L-D)
617,WES ALBRITTON,Lightweight,0-0-0 (W-L-D)
618,ALFONSO ALCAREZ,Lightweight,0-0-0 (W-L-D)
619,JOHN ALESSIO,Lightweight,34-16-0 (W-L-D)
620,LUCAS ALMEIDA,Lightweight,13-1-0 (W-L-D)
621,JOEL ÁLVAREZ,Lightweight,19-3-0 (W-L-D)
622,EDDIE ALVAREZ,Lightweight,29-6-0 (W-L-D)
623,RAFAEL ALVES,Lightweight,20-10-0 (W-L-D)
624,AKBARH ARREOLA,Lightweight,23-9-1 (W-L-D)
625,CESAR ARZAMENDIA,Lightweight,7-4-0 (W-L-D)
626,OLIVIER AUBIN-MERCIER,Lightweight,12-5-0 (W-L-D)
627,PAT AUDINWOOD,Lightweight,9-2-1 (W-L-D)
628,MARCUS AURELIO,Lightweight,18-8-0 (W-L-D)
629,JESSIN AYARI,Lightweight,16-6-0 (W-L-D)
630,OTTMAN AZAITAR,Lightweight,13-0-0 (W-L-D)
631,MEHDI BAGHDAD,Lightweight,11-4-0 (W-L-D)
632,IGNACIO BAHAMONDES,Lightweight,13-4-0 (W-L-D)
633,SHAMAR BAILEY,Lightweight,12-5-0 (W-L-D)
634,MARCIN BANDEL,Lightweight,13-4-0 (W-L-D)
635,TAE HYUN BANG,Lightweight,18-10-0 (W-L-D)
636,DAVID BARON,Lightweight,14-3-0 (W-L-D)
637,DANILO BELLUARDO,Lightweight,12-5-0 (W-L-D)
638,DENNIS BERMUDEZ,Lightweight,18-9-0 (W-L-D)
639,ALLEN BERUBE,Lightweight,2-1-0 (W-L-D)
640,DAVID BIELKHEDEN,Lightweight,13-7-0 (W-L-D)
641,JASON BLACK,Lightweight,22-4-1 (W-L-D)
642,SHERRARD BLACKLEDGE,Lightweight,1-1-0 (W-L-D)
643,MARK BOCEK,Lightweight,12-5-0 (W-L-D)
644,ROMAN BOGATOV,Lightweight,10-1-0 (W-L-D)
645,VIACHESLAV BORSHCHEV,Lightweight,6-2-0 (W-L-D)
646,ROGER BOWLING,Lightweight,11-5-0 (W-L-D)
647,KYLE BRADLEY,Lightweight,14-7-0 (W-L-D)
648,JOE BRAMMER,Lightweight,7-2-1 (W-L-D)
649,MIKE BREEDEN,Lightweight,10-4-0 (W-L-D)
650,CHARLIE BRENNEMAN,Lightweight,19-8-0 (W-L-D)
651,WILL BROOKS,Lightweight,18-4-0 (W-L-D)
652,TJ BROWN,Lightweight,16-8-0 (W-L-D)
653,DAMIEN BROWN,Lightweight,17-12-0 (W-L-D)
654,JUNIE BROWNING,Lightweight,3-2-0 (W-L-D)
655,JUSTIN BUCHHOLZ,Lightweight,9-5-0 (W-L-D)
656,MIKEY BURNETT,Lightweight,0-0-0 (W-L-D)
657,DAKOTA BUSH,Lightweight,8-4-0 (W-L-D)
658,TODD BUTLER,Lightweight,0-0-0 (W-L-D)
659,YAN CABRAL,Lightweight,12-3-0 (W-L-D)
660,TAYLOR CALLENS,Lightweight,0-0-0 (W-L-D)
661,FRANK CAMACHO,Lightweight,22-9-0 (W-L-D)
662,FABRICIO CAMOES,Lightweight,14-9-1 (W-L-D)
663,SHANE CAMPBELL,Lightweight,12-6-0 (W-L-D)
664,FRANK CARACCI,Lightweight,0-0-0 (W-L-D)
665,CAIN CARRIZOSA,Lightweight,6-2-0 (W-L-D)
666,JOHNNY CASE,Lightweight,22-6-0 (W-L-D)
667,DANNY CASTILLO,Lightweight,17-10-0 (W-L-D)
668,LUKE CAUDILLO,Lightweight,15-8-0 (W-L-D)
669,YOSDENIS CEDENO,Lightweight,10-5-0 (W-L-D)
670,DONALD CERRONE,Lightweight,36-16-0 (W-L-D)
671,MICHAEL CHANDLER,Lightweight,22-7-0 (W-L-D)
672,DONNIE CHAPPELL,Lightweight,0-0-0 (W-L-D)
673,ERNEST CHAVEZ,Lightweight,8-2-0 (W-L-D)
674,SAKO CHIVITCHIAN,Lightweight,5-1-0 (W-L-D)
675,JOHN CHOLISH,Lightweight,8-3-0 (W-L-D)
676,ANTHONY CHRISTODOULOU,Lightweight,12-6-0 (W-L-D)
677,CAMERON CHURCH,Lightweight,0-1-0 (W-L-D)
678,MITCH CLARKE,Lightweight,11-5-0 (W-L-D)
679,RICH CLEMENTI,Lightweight,40-14-1 (W-L-D)
680,BRIAN COBB,Lightweight,15-5-0 (W-L-D)
681,JOHN COFER,Lightweight,7-4-0 (W-L-D)
682,BOB COOK,Lightweight,0-0-0 (W-L-D)
683,J.C. COTTRELL,Lightweight,17-5-0 (W-L-D)
684,RYAN COUTURE,Lightweight,6-3-0 (W-L-D)
685,JEFF COX,Lightweight,14-5-0 (W-L-D)
686,ALBERTO CRANE,Lightweight,8-2-0 (W-L-D)
687,PAUL CREIGHTON,Lightweight,5-1-0 (W-L-D)
688,KENNETH CROSS,Lightweight,11-3-0 (W-L-D)
689,DARON CRUICKSHANK,Lightweight,16-8-0 (W-L-D)
690,RICHARD CRUNKILTON JR.,Lightweight,18-3-0 (W-L-D)
691,AALON CRUZ,Lightweight,8-4-0 (W-L-D)
692,GLEIDSON CUTIS,Lightweight,0-0-0 (W-L-D)
693,ALEX DA SILVA,Lightweight,21-3-0 (W-L-D)
694,RODRIGO DAMM,Lightweight,12-9-0 (W-L-D)
695,MAC DANZIG,Lightweight,22-12-1 (W-L-D)
696,BENEIL DARIUSH,Lightweight,21-4-1 (W-L-D)
697,RICK DAVIS,Lightweight,3-1-1 (W-L-D)
698,MARCUS DAVIS,Lightweight,22-9-0 (W-L-D)
699,MIKE DAVIS,Lightweight,9-2-0 (W-L-D)
700,GRANT DAWSON,Lightweight,17-1-1 (W-L-D)
701,RODRIGO DE LIMA,Lightweight,8-3-1 (W-L-D)
702,ROLANDO DELGADO,Lightweight,8-5-1 (W-L-D)
703,JASON DENT,Lightweight,19-11-0 (W-L-D)
704,MARC DIAKIESE,Lightweight,15-5-0 (W-L-D)
705,HACRAN DIAS,Lightweight,23-6-1 (W-L-D)
706,DREW DOBER,Lightweight,24-11-0 (W-L-D)
707,CAMERON DOLLAR,Lightweight,5-3-0 (W-L-D)
708,RAFAEL DOS ANJOS,Lightweight,31-13-0 (W-L-D)
709,DAN DOWNES,Lightweight,8-3-0 (W-L-D)
710,JOE DUFFY,Lightweight,16-5-0 (W-L-D)
711,KELLY DULLANTY,Lightweight,4-1-0 (W-L-D)
712,CHRIS DUNCAN,Lightweight,0-0-0 (W-L-D)
713,EVAN DUNHAM,Lightweight,18-8-1 (W-L-D)
714,TE EDWARDS,Lightweight,6-3-0 (W-L-D)
715,YVES EDWARDS,Lightweight,42-22-1 (W-L-D)
716,JUSTIN EDWARDS,Lightweight,9-5-0 (W-L-D)
717,PER EKLUND,Lightweight,15-4-1 (W-L-D)
718,JOE ELLENBERGER,Lightweight,15-2-0 (W-L-D)
719,ROB EMERSON,Lightweight,11-9-0 (W-L-D)
720,KOLTON ENGLUND,Lightweight,0-0-0 (W-L-D)
721,EFRAIN ESCUDERO,Lightweight,25-11-0 (W-L-D)
722,ACHILLES ESTREMADURA,Lightweight,0-0-0 (W-L-D)
723,TERRY ETIM,Lightweight,15-5-0 (W-L-D)
724,DOUG EVANS,Lightweight,6-2-0 (W-L-D)
725,EDWARD FAALOLOTO,Lightweight,5-3-0 (W-L-D)
726,PAUL FELDER,Lightweight,17-6-0 (W-L-D)
727,TONY FERGUSON,Lightweight,26-7-0 (W-L-D)
728,DIEGO FERREIRA,Lightweight,17-5-0 (W-L-D)
729,SPENCER FISHER,Lightweight,25-9-0 (W-L-D)
730,RAFAEL FIZIEV,Lightweight,11-1-0 (W-L-D)
731,COLIN FLETCHER,Lightweight,9-3-0 (W-L-D)
732,LUKE FLORES,Lightweight,7-2-0 (W-L-D)
733,CAROS FODOR,Lightweight,7-3-0 (W-L-D)
734,HERMES FRANCA,Lightweight,20-8-0 (W-L-D)
735,GLAICO FRANCA,Lightweight,14-5-0 (W-L-D)
736,WILLAMY FREIRE,Lightweight,17-4-0 (W-L-D)
737,MATT FREVOLA,Lightweight,9-3-1 (W-L-D)
738,JUSTIN GAETHJE,Lightweight,24-3-0 (W-L-D)
739,MATEUSZ GAMROT,Lightweight,20-1-0 (W-L-D)
740,STEVE GARCIA,Lightweight,12-4-0 (W-L-D)
741,RAFA GARCIA,Lightweight,14-2-0 (W-L-D)
742,MANUEL GAXHJA,Lightweight,0-0-0 (W-L-D)
743,BRIAN GERAGHTY,Lightweight,24-9-2 (W-L-D)
744,CHRISTOS GIAGOS,Lightweight,19-9-0 (W-L-D)
745,JOE GIANNETTI,Lightweight,7-1-0 (W-L-D)
746,CHASE GIBSON,Lightweight,0-1-0 (W-L-D)
747,THOMAS GIFFORD,Lightweight,17-9-0 (W-L-D)
748,JOEY GILBERT,Lightweight,0-0-0 (W-L-D)
749,GREGOR GILLESPIE,Lightweight,14-1-0 (W-L-D)
750,RICKY GLENN,Lightweight,22-6-2 (W-L-D)
751,JOEY GOMEZ,Lightweight,7-0-0 (W-L-D)
752,TAKANORI GOMI,Lightweight,35-14-0 (W-L-D)
753,ERICK GONZALEZ,Lightweight,0-1-0 (W-L-D)
754,MIKEY GONZALEZ,Lightweight,0-1-0 (W-L-D)
755,JASON GONZALEZ,Lightweight,11-5-0 (W-L-D)
756,JARED GORDON,Lightweight,18-4-0 (W-L-D)
757,ALEX GORGEES,Lightweight,7-1-0 (W-L-D)
758,THIBAULT GOUTI,Lightweight,12-5-0 (W-L-D)
759,TJ GRANT,Lightweight,21-5-0 (W-L-D)
760,DESMOND GREEN,Lightweight,23-8-0 (W-L-D)
761,BOBBY GREEN,Lightweight,29-13-1 (W-L-D)
762,GARRETT GROSS,Lightweight,11-8-0 (W-L-D)
763,CHRIS GRUETZEMACHER,Lightweight,15-5-0 (W-L-D)
764,SHANNON GUGERTY,Lightweight,12-6-0 (W-L-D)
765,CLAY GUIDA,Lightweight,37-18-0 (W-L-D)
766,MELVIN GUILLARD,Lightweight,48-14-3 (W-L-D)
767,JOHN GUNDERSON,Lightweight,23-8-0 (W-L-D)
768,JOHN GUNTHER,Lightweight,7-2-0 (W-L-D)
769,JORGE GURGEL,Lightweight,17-8-0 (W-L-D)
770,DAMIR HADZOVIC,Lightweight,14-6-0 (W-L-D)
771,DENNIS HALLMAN,Lightweight,66-14-2 (W-L-D)
772,PIOTR HALLMANN,Lightweight,15-4-0 (W-L-D)
773,JOHN HALVERSON,Lightweight,16-6-0 (W-L-D)
774,NASRAT HAQPARAST,Lightweight,13-5-0 (W-L-D)
775,DALE HARTT,Lightweight,6-2-0 (W-L-D)
776,DUSTIN HAZELETT,Lightweight,14-7-0 (W-L-D)
777,PAT HEALY,Lightweight,31-19-0 (W-L-D)
778,NICK HEIN,Lightweight,14-5-0 (W-L-D)
779,MARCIN HELD,Lightweight,23-7-0 (W-L-D)
780,JAI HERBERT,Lightweight,11-4-0 (W-L-D)
781,ALEXANDER HERNANDEZ,Lightweight,13-5-0 (W-L-D)
782,JASON HIGH,Lightweight,19-5-0 (W-L-D)
783,COREY HILL,Lightweight,2-2-0 (W-L-D)
784,MIZUTO HIROTA,Lightweight,19-10-2 (W-L-D)
785,ANDREW HOLBROOK,Lightweight,12-2-0 (W-L-D)
786,KURT HOLOBAUGH,Lightweight,17-7-0 (W-L-D)
787,MARK HOLST,Lightweight,8-3-0 (W-L-D)
788,SCOTT HOLTZMAN,Lightweight,14-5-0 (W-L-D)
789,DARRELL HORCHER,Lightweight,13-4-0 (W-L-D)
790,SAEED HOSSEINI,Lightweight,0-0-0 (W-L-D)
791,AUSTIN HUBBARD,Lightweight,13-6-0 (W-L-D)
792,ROGER HUERTA,Lightweight,22-3-1 (W-L-D)
793,AL IAQUINTA,Lightweight,14-7-1 (W-L-D)
794,VALERI IGNATOV,Lightweight,0-0-0 (W-L-D)
795,FABIANO IHA,Lightweight,12-3-0 (W-L-D)
796,ENSON INOUE,Lightweight,0-0-0 (W-L-D)
797,DAMIR ISMAGULOV,Lightweight,23-1-0 (W-L-D)
798,WALLID ISMAIL,Lightweight,0-0-0 (W-L-D)
799,YOISLANDY IZQUIERDO,Lightweight,6-2-0 (W-L-D)
800,JUSTIN JAMES,Lightweight,22-5-0 (W-L-D)
801,BRANDON JENKINS,Lightweight,15-9-0 (W-L-D)
802,MICHAEL JOHNSON,Lightweight,20-17-0 (W-L-D)
803,KAJAN JOHNSON,Lightweight,23-14-1 (W-L-D)
804,MASON JONES,Lightweight,11-1-0 (W-L-D)
805,IVAN JORGE,Lightweight,26-5-0 (W-L-D)
806,DAVE KAPLAN,Lightweight,3-3-0 (W-L-D)
807,YUSUKE KASUYA,Lightweight,9-3-2 (W-L-D)
808,C.J. KEITH,Lightweight,8-2-0 (W-L-D)
809,PAUL KELLY,Lightweight,12-4-0 (W-L-D)
810,LUDOVIT KLEIN,Lightweight,18-4-0 (W-L-D)
811,DRAKKAR KLOSE,Lightweight,12-2-1 (W-L-D)
812,NAOYUKI KOTANI,Lightweight,33-13-7 (W-L-D)
813,ANTON KUIVANEN,Lightweight,17-6-0 (W-L-D)
814,LEO KUNTZ,Lightweight,17-3-1 (W-L-D)
815,GURAM KUTATELADZE,Lightweight,12-2-0 (W-L-D)
816,DAN LAUZON,Lightweight,12-4-0 (W-L-D)
817,JOE LAUZON,Lightweight,28-16-0 (W-L-D)
818,VALMIR LAZARO,Lightweight,13-4-0 (W-L-D)
819,JORDAN LEAVITT,Lightweight,10-1-0 (W-L-D)
820,MICKAEL LEBOUT,Lightweight,14-5-1 (W-L-D)
821,JACKIE LEE,Lightweight,0-0-0 (W-L-D)
822,DAVID LEE,Lightweight,5-2-0 (W-L-D)
823,CHRISTOPHE LEININGER,Lightweight,0-0-0 (W-L-D)
824,MARCUS LEVESSEUR,Lightweight,22-7-0 (W-L-D)
825,NATAN LEVY,Lightweight,6-1-0 (W-L-D)
826,JOHN LEWIS,Lightweight,0-0-0 (W-L-D)
827,JESS LIAUDIN,Lightweight,12-11-0 (W-L-D)
828,JAKE LINDSEY,Lightweight,9-3-0 (W-L-D)
829,ZHANG LIPENG,Lightweight,9-9-1 (W-L-D)
